index,url,html_file,title,screenshot,video,assets_count,notes
22,https://alluredigital.net/appian-development/,,,,,0,"error: Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://alluredigital.net/appian-development/"", waiting until ""networkidle""
"
23,https://alluredigital.net/portfolio/,D:\usman\allure_out\pages\page_0023.html,Portfolio | Allure Digital,D:\usman\allure_out\screenshots\page_0023.png,,41,
24,https://alluredigital.net/careers,D:\usman\allure_out\pages\page_0024.html,Allure Digital | Digital Marketing and Web Development Agency in Brooklyn,D:\usman\allure_out\screenshots\page_0024.png,,41,
25,https://alluredigital.net/careers/,D:\usman\allure_out\pages\page_0025.html,Allure Digital | Digital Marketing and Web Development Agency in Brooklyn,D:\usman\allure_out\screenshots\page_0025.png,,41,
26,https://alluredigital.net/blog/#,allure_out\pages\page_0026.html,Blogs | Allure Digital,allure_out\screenshots\page_0026.png,,18,
27,https://alluredigital.net/blog/#content,allure_out\pages\page_0027.html,Blogs | Allure Digital,allure_out\screenshots\page_0027.png,,18,
28,https://alluredigital.net/blog/digital-marketing-strategies-that-work-2025/,allure_out\pages\page_0028.html,5 Digital Marketing Strategies That Actually Work in 2025 | Allure Digital,allure_out\screenshots\page_0028.png,,15,
29,https://alluredigital.net/blog/everything-you-need-to-know-about-how-digital-marketing-works/,allure_out\pages\page_0029.html,How Digital Marketing Works - Experts Guide,allure_out\screenshots\page_0029.png,,15,
30,https://alluredigital.net/blog/how-small-businesses-can-dominate-local-search/,allure_out\pages\page_0030.html,Local SEO for Beginners | Complete 2025 Guide | Allure Digital,allure_out\screenshots\page_0030.png,,15,
31,https://alluredigital.net/blog/how-to-find-trending-keywords-seo/,allure_out\pages\page_0031.html,How To Find Trending Keywords for SEO | Allure Digital,allure_out\screenshots\page_0031.png,,15,
32,https://alluredigital.net/blog/june-2025-google-core-update/,allure_out\pages\page_0032.html,Google June 2025 Core Update Explained | Allure Digital,allure_out\screenshots\page_0032.png,,15,
33,https://alluredigital.net/blog/search-engines-vs-large-language-models/,allure_out\pages\page_0033.html,Search Engines vs. Large Language Models | 2025 Analysis,allure_out\screenshots\page_0033.png,,15,
34,https://alluredigital.net/blog/seo-trends-for-2025/,allure_out\pages\page_0034.html,SEO Trends for 2025 | Allure Digital,allure_out\screenshots\page_0034.png,,15,
35,https://alluredigital.net/blog/seo-vs-ppc-pros-and-cons/,allure_out\pages\page_0035.html,SEO vs PPC | What to Choose in 2026 | Allure Digital,allure_out\screenshots\page_0035.png,,15,
36,https://alluredigital.net/blog/voice-search-importance-in-marketing-seo/,allure_out\pages\page_0036.html,The Future of SEO: Why Voice Search Matters in Marketing | Allure Digital,allure_out\screenshots\page_0036.png,,15,
37,https://alluredigital.net/portfolio/#,allure_out\pages\page_0037.html,Portfolio | Allure Digital,allure_out\screenshots\page_0037.png,,23,
38,https://alluredigital.net/portfolio/#content,allure_out\pages\page_0038.html,Portfolio | Allure Digital,allure_out\screenshots\page_0038.png,,23,
39,https://alluredigital.net/work/#,allure_out\pages\page_0039.html,Our Work | Digital Marketing Case Studies & Success Stories,allure_out\screenshots\page_0039.png,,15,
40,https://alluredigital.net/work/#content,allure_out\pages\page_0040.html,Our Work | Digital Marketing Case Studies & Success Stories,allure_out\screenshots\page_0040.png,,15,
41,https://alluredigital.net/work/atoz-renovations-creating-timeless-homes/,allure_out\pages\page_0041.html,ATOZ Renovations NYC | Digital Marketing Success Story,allure_out\screenshots\page_0041.png,,23,
42,https://alluredigital.net/work/brothers-fix/,allure_out\pages\page_0042.html,Brothers Fix | Digital Marketing Success Stories,allure_out\screenshots\page_0042.png,,16,
43,https://alluredigital.net/work/flatrate-junk-removal/,allure_out\pages\page_0043.html,Flatrate Junk Removal | Digital Marketing Success Story,allure_out\screenshots\page_0043.png,,18,
44,https://alluredigital.net/work/nyc-wheel-professionals/,allure_out\pages\page_0044.html,NYC Wheel Professionals | Digital Marketing Success Story,allure_out\screenshots\page_0044.png,,15,
45,https://alluredigital.net/work/quality-1st-towing/,allure_out\pages\page_0045.html,Quality 1st Towing | Digital Marketing Success Story,allure_out\screenshots\page_0045.png,,16,
46,https://alluredigital.net/work/setupnyc/,allure_out\pages\page_0046.html,Setup NYC | Digital Marketing Success Story,allure_out\screenshots\page_0046.png,,19,
